ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
2426		parado con los brazos abiertos		Posición/configuración	standing with arms outstretched	Spatial relations, The body	VISUAL
2427		a lado de alguna cosa		Posición/configuración	next to something	Spatial relations	VISUAL
2428		poner una cosa boca abajo		Posición/configuración	turn something upside down	Spatial relations	VISUAL
2429		apretado		Posición/configuración	tightened	Spatial relations	VISUAL
2430		estirar		Posición/configuración	stretch	Basic actions and technology	VISUAL
2431		curvado		Posición/configuración	curved	Spatial relations	VISUAL
2432		forma de canasta flexible de boca chica		Posición/configuración	small-mouthed basket-like shape	Basic actions and technology	VISUAL
2433		rebotar		Acción	bounce	Basic actions and technology	AUDITORY
2434		quebrar palos pequeños		Acción	break small sticks	Basic actions and technology	AUDITORY
2435		quebrar caña de guadua		Acción	break bamboo cane	Agriculture and vegetation	AUDITORY
2436		caer de una fruta		Acción	fruit falling	Agriculture and vegetation, Motion	AUDITORY
2437		moler granos		Acción	grind grains	Agriculture and vegetation	AUDITORY
2438		pegar con la palma de la mano		Acción	slap	Basic actions and technology	AUDITORY
2439		garrotear		Acción	beat with a club	Basic actions and technology	AUDITORY
2440		golpear con la palma de la mano en la cara		Acción	slap in the face	Basic actions and technology	AUDITORY
2441		romper o destruir tela		Acción	tear fabric	Clothing and grooming	AUDITORY
2442		cortar con machete		Acción	cut with a machete	Basic actions and technology	AUDITORY
2443		coger rápido uno tras otro		Acción	grab quickly one after another	Basic actions and technology	VISUAL
2444		sonido de llamar		Sonido humano	calling sound	Speech and language	AUDITORY
2445		manera de reír		Sonido humano	laugh	Emotion and values	AUDITORY
2446		sonido de sexo		Sonido humano	sex sound	The body	AUDITORY
2447		manera de llorar		Sonido humano	crying	Emotion and values	AUDITORY
2448		sonido emitido por un mono		Sonido animal	monkey	Animals	AUDITORY
2449		sonido emitido por un pájaro búho		Sonido animal	owl	Animals	AUDITORY
2450		sonido emitido por un animal mono		Sonido animal	monkey	Animals	AUDITORY
2451		sonido emitido por un ave lora		Sonido animal	parrot	Animals	AUDITORY
2452		sonido de la caída		Sonido objetos	falling	Motion	AUDITORY
2453		sonido de cortar con machete, cortar de un golpe		Sonido objetos	cutting with a machete	Basic actions and technology	AUDITORY
2454		sonido de cortar con cuchillo		Sonido objetos	cutting with a knife	Basic actions and technology	AUDITORY
2455		sonido de pegar con la mano		Sonido objetos	hitting with the hand	Basic actions and technology	AUDITORY
2456		sonido de cortar pelo con tijera		Sonido objetos	cutting hair	Basic actions and technology	AUDITORY
2457		pelar la corteza de la fruta u otra cosa		Acción y cambio de estado	to peel	Basic actions and technology	AUDITORY
2458		quebrar algo pequeño y rígido		Acción y cambio de estado	to break something small and rigid	Basic actions and technology	AUDITORY
2459		quebrar algo grueso y rígido		Acción y cambio de estado	to break something thick and rigid	Basic actions and technology	AUDITORY
2460		quebrar palos y otros		Acción y cambio de estado	to break	Basic actions and technology	AUDITORY
2461		cortar de un golpe por la mitad		Acción y cambio de estado	to cut in half	Basic actions and technology	AUDITORY
2462		cortar de pedazos pequeños algo		Acción y cambio de estado	to cut into small pieces	Basic actions and technology	AUDITORY
2463		arrojar agua		Acción y cambio de estado	to throw water	Basic actions and technology	AUDITORY
2464		pegar con la palma de la mano en la cara		Acción y cambio de estado	to slap someone in the face	Basic actions and technology	AUDITORY
2465		inclinarse		Acción y cambio de estado	to bend down	Basic actions and technology	VISUAL
2466		agachar la espalda		Acción y cambio de estado	to bend over	Basic actions and technology	VISUAL
2467		parar		Acción y cambio de estado	to stop	Basic actions and technology	VISUAL
2468		deslizarse		Movimiento, transicional y no transicional	to slide	Motion	VISUAL
2469		temblarse con frío		Movimiento, transicional y no transicional	shivering with cold	Sense perception	INTERNAL STATE
2470		caminar en agua poco profunda		Movimiento, transicional y no transicional	to walk in shallow water	Motion	VISUAL
2471		subir en el árbol		Movimiento, transicional y no transicional	to climb a tree	Motion	VISUAL
2472		ir de puntillas		Movimiento, transicional y no transicional	to go on tiptoes	Motion	VISUAL
2473		revolcarse		Movimiento, transicional y no transicional	to roll around	Motion	VISUAL
2474		mover el cuerpo		Movimiento, transicional y no transicional	to move the body	Motion	VISUAL
2475		mover		Movimiento, transicional y no transicional	to move	Motion	VISUAL
2476		mover los brazos		Movimiento, transicional y no transicional	to move arms	The body, Motion	VISUAL
2477		fondo de barranco desde la perspectiva de alguien que está arriba		Posición/configuración	bottom of a ravine seen from above	Spatial relations	VISUAL
2478		arriba desde la perspectiva de alguien que está abajo		Posición/configuración	place seen from below	Spatial relations	VISUAL
2479		encima de algo		Posición/configuración	on top of	Spatial relations	VISUAL
2480		por abajo del río		Posición/configuración	below the river	Spatial relations, The physical world	VISUAL
2481		por arriba del río		Posición/configuración	above the river	Spatial relations, The physical world	VISUAL
2482		doblarse		Posición/configuración	to bend over	Spatial relations	VISUAL
2483		alzar los pies/los brazos		Posición/configuración	to raise one's limbs	The body, Motion	VISUAL
2484		alzar los pies		Posición/configuración	raise feet	The body, Motion	VISUAL
2485		alzar los brazos		Posición/configuración	raise arms	The body, Motion	VISUAL
2486		mover la cadera		Posición/configuración	move hips	The body, Motion	VISUAL
2487		topar a personas y otros		Táctil	bump into	Basic actions and technology	TACTILE
2488		cogerse algo		Táctil	grab	Basic actions and technology	VISUAL
2489		toparse entre cuerpo y otro		Táctil	two entities bumping into each other	Basic actions and technology	TACTILE
2490		salado		Sabor	salty	Food and drink	GUSTATORY
2491		dulce		Sabor	sweet	Food and drink	GUSTATORY
2492		mover los pies		Corporal	to move feet	The body, Motion	VISUAL
2493		mover la cabeza		Corporal	to move head	The body, Motion	VISUAL
2494		mover el pene		Corporal	to move penis	The body, Motion	VISUAL
2495		darse vuelta		Corporal	to turn around	Motion	VISUAL
2496		la aurora de la mañana		Visual	morning dawn	The physical world	VISUAL
2497		ver		Visual	to see	Sense perception	VISUAL
2498		mirando		Visual	looking	Sense perception	VISUAL
2499		mirar hacia el cielo		Visual	looking up at the sky	The physical world	VISUAL
2500		mirar hacia abajo		Visual	looking down	Spatial relations	VISUAL
2501		olor de axila		Olfativo	armpit smell	The body	OLFACTORY
2502		olor de sudor		Olfativo	sweat smell	The body	OLFACTORY
2503		decir		Emoción y expresión	to say	Speech and language	AUDITORY
2504		lindo, bello, hermoso		Emoción y expresión	beautiful	Emotion and values	VISUAL
2505		raspar			scrape	Basic actions and technology	AUDITORY
2506	swing a loaded basket up on one's back			Sound of action	swing basket up on one's back	Basic actions and technology	VISUAL
2507	bark (a dog) or scream			Sound of action	bark, scream	Animals	AUDITORY
2508	fall down dead			Sound of action	fall down dead	The body, Motion	VISUAL, AUDITORY
2509	sneeze			Sound of action	sneeze	The body	AUDITORY
2510	eat			Sound of action	eat	Food and drink	AUDITORY, VISUAL
2511	make a fire			Sound of action	make a fire	Basic actions and technology	VISUAL, AUDITORY
2512	yawn			Sound of action	yawn	The body	AUDITORY
2513	break			Sound of action	break	Basic actions and technology	AUDITORY
2514	pull			Sound of action	pull	Basic actions and technology	VISUAL
2515	yank out			Sound of action	yank out	Basic actions and technology	VISUAL, AUDITORY
2516	drag on the ground			Sound of action	drag on the ground	Basic actions and technology	AUDITORY
2517	pull up by the roots			Sound of action	pull up by the roots	Agriculture and vegetation	AUDITORY, VISUAL
2518	stretch			Sound of action	stretch	Basic actions and technology	VISUAL
2519	tremble, shake			Sound of action	tremble, shake	Motion	VISUAL
2520	choke, gag			Sound of action	choke, gag	The body	AUDITORY
2521	spit			Sound of action	spit	The body	AUDITORY
2522	scrape			Sound of action	scrape	Basic actions and technology	AUDITORY
2523	scratch, cut			Sound of action	scratch, cut	Basic actions and technology	AUDITORY
2524	clear one's throat			Sound of action	clear one's throat	The body	AUDITORY
2525	burp			Sound of action	burp	The body	AUDITORY
2526	pound corn			Sound of action	pound corn	Food and drink	AUDITORY
2527	cook			Sound of action	cook	Food and drink	VISUAL, AUDITORY
2528	float, walk			Sound of action	float, walk	Motion	VISUAL
2529	wash			Sound of action	wash	Basic actions and technology	AUDITORY
2530	burn with high flames			Sound of action	burn with high flames	The physical world	VISUAL, AUDITORY
2531	expel intestinal gases			Sound of action	expel intestinal gases	The body	AUDITORY
2532	light a fire by blowing on it			Sound of action	light a fire by blowing on it	Basic actions and technology	AUDITORY
2533	suck out			Sound of action	suck out	Basic actions and technology	AUDITORY
2534	swallow			Sound of action	swallow	The body, Food and drink	AUDITORY
2535	hurry, walk fast			Sound of action	walk fast	Motion	VISUAL
2536	blow wind			Sound of action	blow wind	The physical world	AUDITORY
2537	tear, rip			Sound of action	tear, rip	Basic actions and technology	AUDITORY
2538	holler			Sound of action	holler	Speech and language	AUDITORY
2539	shoot			Sound of action	shoot	Warfare and hunting	AUDITORY
2540	go out (light or fire)			Sound of action	fire going out	The physical world	VISUAL
2541	push			Sound of action	push	Basic actions and technology	VISUAL
2542	push through a group of people			Sound of action	push through a group of people	Basic actions and technology	VISUAL
2543	hit, sock			Sound of action	hit	Basic actions and technology	AUDITORY
2544	shake, tremble			Sound of action	shake, tremble	Motion	VISUAL
2545	sharpen knife			Sound of action	sharpen knife	Basic actions and technology	AUDITORY
2546	blow (wind), snort (pig)			Sound of action	wind blowing, pig snorting	The physical world	AUDITORY
2547	puncture			Sound of action	puncture	Basic actions and technology	VISUAL
2548	cough			Sound of action	cough	The body	AUDITORY
2549	whistle, pla flute			Sound of action	wind instrument	Basic actions and technology	AUDITORY
2550	whistle announcing pig kill			Sound of action	whistle	Basic actions and technology	AUDITORY
2551	kill			Sound of action	kill	Warfare and hunting	VISUAL
2552	blow (breeze), slap (waves), fan			Sound of action	breezing blowing, waves slapping, fan	The physical world	AUDITORY
2553	cave in (riverbank)			Sound of action	riverbank caving in	The physical world	AUDITORY
2554	plane (piece of wood), smooth	cepillar (una madera), alisar		Sound of action	plane a piece of wood, smooth	Basic actions and technology	AUDITORY
2555	shuck corn			Sound of action	shuck corn	Food and drink	AUDITORY
2556	end suddenly			Sound of action	end suddenly	OTHER	?
2557	break off			Sound of action	break off	Basic actions and technology	AUDITORY
2558	scratch			Sound of action	scratch	Basic actions and technology	AUDITORY
2559	boil			Sound of action	boil	Food and drink	AUDITORY
2560	set on eggs (hen)			Sound of action	hen sitting on eggs	Animals	VISUAL
2561	bend down palm leaves from stalk			Sound of action	bend down palm leaves from stalk	Agriculture and vegetation	VISUAL
2562	bite, chew			Sound of action	bite, chew	Food and drink, The body	AUDITORY
2563	chop down (tree), cut (hair)			Sound of action	chop, cut	Basic actions and technology	AUDITORY
2564	bite off			Sound of action	bite off	Food and drink	VISUAL, AUDITORY
2565	enclose, beat on drum, play guitar			Sound of action	enclose, beat on drum, play guitar	Basic actions and technology	VISUAL, AUDITORY
2566	burst			Sound of action	burst	Basic actions and technology	AUDITORY
2567	break open, split			Sound of action	break open, split	Basic actions and technology	AUDITORY
2568	fly			Sound of action	fly	Motion	VISUAL
2569	be plugged up (nose)			Sound of action	plugged up nose	The body	INTERNAL STATE
2570	tick (clock)			Sound of action	clock ticking	Basic actions and technology	AUDITORY
2571	laugh			Sound of action	laugh	Emotion and values	AUDITORY
2572	chop			Sound of action	chop	Basic actions and technology	AUDITORY
2573	drink			Sound of action	drink	Food and drink	AUDITORY
2574	hit, beat, split, kick			Sound of action	hit, beat, split, kick	Basic actions and technology	AUDITORY
2575	splash (water)			Sound of action	splash	The physical world	AUDITORY
2576	pulsate			Sound of action	pulsate	Basic actions and technology	VISUAL
2577	burn			Sound of action	burn	The physical world	VISUAL
2578	fall on the ground			Sound of action	fall on the ground	Motion	AUDITORY
2579	knock down fruit from tree			Sound of action	knock down fruit from tree	Agriculture and vegetation, Food and drink	AUDITORY
2580	chop down tree			Sound of action	chop down tree	Agriculture and vegetation	AUDITORY
2581	pick corn off stalk			Sound of action	pick corn off stalk	Agriculture and vegetation	AUDITORY
2582	slip, slide			Sound of action	slip, slide	Basic actions and technology	VISUAL
2583	explode			Sound of action	explode	Basic actions and technology	AUDITORY
2584	rumble (thunder)			Sound of action	thunder	The physical world	AUDITORY
2585	groan			Sound of action	groan	Emotion and values	AUDITORY
2586	call a bird			Sound of action	bird call	Animals	AUDITORY
2587	rupture, burst			Sound of action	rupture, burst	Basic actions and technology	AUDITORY
2588	make garden (chop trees down)			Sound of action	chop trees down	Agriculture and vegetation	AUDITORY
2589	paint			Sound of action	paint	Basic actions and technology	VISUAL
2590	hatch			Sound of action	hatch	Animals	VISUAL
2591	sew (with a machine), function (motor)			Sound of action	sew with a machine, engine	Basic actions and technology	AUDITORY
2592	beat a drum			Sound of action	drum	Basic actions and technology	AUDITORY
2593	scream			Sound of action	scream	Emotion and values	AUDITORY
2594	admire			Sound of action	admire	Emotion and values	INTERNAL STATE
2595	cut			Sound of action	cut	Basic actions and technology	AUDITORY
2596	cry			Sound of action	cry	Emotion and values	AUDITORY
2597	hit, spank			Sound of action	hit, spank	Basic actions and technology	AUDITORY
2598	talk, converse			Sound of action	talking	Speech and language	AUDITORY
2599	vomit			Sound of action	vomit	The body	AUDITORY
2600	rip, tear			Sound of action	rip, tear	Basic actions and technology	AUDITORY
2601	walk in water, burn, fan			Sound of action	walk in water, burn, fan	Motion	VISUAL
2602	sink (in water)			Sound of action	sink in water	Motion	VISUAL
2603	cut, shave			Sound of action	cut, shave	Basic actions and technology	AUDITORY
2604	snarl			Sound of action	snarl	Emotion and values	AUDITORY
2605	eat fruit			Sound of action	eat fruit	Food and drink	AUDITORY
2606	sizzle, be hot, have a fever, noise of wind or rain			Sound of action	sizzle, be hot, have a fever, noise of wind or rain	Sense perception	AUDITORY, TACTILE, INTERNAL STATE
2607	pound			Sound of action	pound	Basic actions and technology	AUDITORY
2608	dig			Sound of action	dig	Basic actions and technology	AUDITORY
2609	rub			Sound of action	rub	Basic actions and technology	AUDITORY
2610	lick, suck			Sound of action	lick, suck	Basic actions and technology	AUDITORY
2611	shell corn			Sound of action	shell corn	Food and drink	AUDITORY
2612	dampen			Sound of action	dampen	Basic actions and technology	VISUAL, TACTILE
2613	nurse (baby), have hiccups			Sound of action	baby nursing, hiccups	The body	VISUAL, AUDITORY
2614	step on, squash			Sound of action	step on, squash	Basic actions and technology	AUDITORY
2615	step in something soft and mushy			Sound of action	step in something soft and mushy	Basic actions and technology	AUDITORY
2616	kick			Sound of action	kick	Basic actions and technology	AUDITORY
2617	walk fast, angrily			Sound of action	walk fast, angrily	Motion	VISUAL
2618	blink			Sound of action	blink	The body	VISUAL
2619	fry, stick into			Sound of action	fry, stick into	Basic actions and technology	VISUAL, AUDITORY
2620	sharpen, squeeze			Sound of action	sharpen, squeeze	Basic actions and technology	VISUAL
2621	poke			Sound of action	poke	Basic actions and technology	VISUAL
2622	sing (bird) at dawn or dusk			Sound of action	bird song	Animals	AUDITORY
2623	kiss			Sound of action	kiss	The body	AUDITORY
2624	drip			Sound of action	drip	The physical world	AUDITORY
2625	walk			Sound of action	walk	Motion	VISUAL
2626	jaguar species			Sonido de animal u objeto	jaguar	Animals	AUDITORY
2627	bird species (jacamin)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2628	bird species (alencó)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2629	bird species (toucan)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2630	porpoise			Sonido de animal u objeto	porpoise	Animals	AUDITORY
2631	bird species (araquá)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2632	bird species			Sonido de animal u objeto	bird species	Animals	AUDITORY
2633	chicken (rooster)			Sonido de animal u objeto	chicken	Animals	AUDITORY
2634	hawk species			Sonido de animal u objeto	hawk species	Animals	AUDITORY
2635	owl species			Sonido de animal u objeto	owl species	Animals	AUDITORY
2636	frog species			Sonido de animal u objeto	frog species	Animals	AUDITORY
2637	monkey species			Sonido de animal u objeto	monkey species	Animals	AUDITORY
2638	pigeon species			Sonido de animal u objeto	pigeon species	Animals	AUDITORY
2639	parakeet species			Sonido de animal u objeto	parakeet species	Animals	AUDITORY
2640	bird species (cujubim)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2641	parrot species			Sonido de animal u objeto	parrot species	Animals	AUDITORY
2642	natural spring			Sonido de animal u objeto	natural spring	The physical world	AUDITORY
2643	bird species (uru)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2644	long bamboo flute			Sonido de animal u objeto	long bamboo flute	Basic actions and technology	AUDITORY
2645	wild pig species (queixada)			Sonido de animal u objeto	wild pig species	Animals	AUDITORY
2646	monkey species (zogue zogue)			Sonido de animal u objeto	monkey species	Animals	AUDITORY
2647	piranha species			Sonido de animal u objeto	piranha species	Animals	AUDITORY
2648	bird species (nambu)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2649	anything made of metal			Sonido de animal u objeto	metallic object	Basic actions and technology	AUDITORY
2650	rat species			Sonido de animal u objeto	rat species	Animals	AUDITORY
2651	chicken (hen)			Sonido de animal u objeto	chicken	Animals	AUDITORY
2652	dragonfly			Sonido de animal u objeto	dragonfly	Animals	AUDITORY
2653	bird species (nbambu)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2654	bird species (socó boi)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2655	bird species (nambu galinha)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2656	monkey species (guariba)			Sonido de animal u objeto	monkey species	Animals	AUDITORY
2657	bird species (coroca)			Sonido de animal u objeto	bird species	Animals	AUDITORY
2658	medicine given by drops			Sonido de animal u objeto	medicine given by drops	Basic actions and technology	AUDITORY
2659	mud			Sonido de animal u objeto	mud	The physical world	AUDITORY
2660	owl species (caburé da noite)			Sonido de animal u objeto	owl species	Animals	AUDITORY
2661	pigeon species (galega)			Sonido de animal u objeto	pigeon species	Animals	AUDITORY
2662	bamboo flute			Sonido de animal u objeto	bamboo flute	Basic actions and technology	AUDITORY
2663	weasel species			Sonido de animal u objeto	weasel species	Animals	AUDITORY
2664	sound of screaming				screaming	Emotion and values	AUDITORY
2665	sound of killing				killing	Warfare and hunting	AUDITORY
2666	sound of killing birds			con alargamiento en la última "o"	killing birds	Warfare and hunting, Animals	AUDITORY
2667	sound of day dawning				dawn	The physical world	VISUAL
2668	sound of talking an unintelligible language				talking unintelligibly	Speech and language	AUDITORY
2669	sound representing numerous kinds of events, such as talking, fighting, working of magic, eating				talking, fighting, doing magic, eating	Basic actions and technology	AUDITORY, VISUAL
2670	sound of child emerging from womb				childbirth	The body	VISUAL
2671	sound of completing something			con alargamiento	completed	OTHER	?
2672	sound of blowing			con alargamiento	blowing	Basic actions and technology	AUDITORY
2673	sound of talking			"spoken gutterally"; con alargamiento	talking	Speech and language	AUDITORY
2674	sound of calling or fear			con alargamiento	calling, fear	Speech and language, Emotion and values	AUDITORY, INTERNAL STATE
2675	sound of waving something in the air to get attention				waving something in the air	Basic actions and technology	VISUAL
2676	sound of a certain fish				fish species	Animals	AUDITORY
2677	sound of eating fruit				eating fruit	Food and drink	AUDITORY
2678	sound of falling into a hole				falling into a hole	Motion	AUDITORY
2679	sound of gunshot going off				gunshot	Warfare and hunting	AUDITORY
2680	sound of arrow hitting its mark			con alargamiento	arrow hitting	Warfare and hunting	AUDITORY
2681	sound of going inside something				going inside	Motion	VISUAL
2682	sound of shooting an arrow				shooting an arrow	Warfare and hunting	AUDITORY
2683	sound of footsteps			whispered	footsteps	Motion	AUDITORY
2684	sound of laughing				laughing	Emotion and values	AUDITORY
2685	sound of something clumsy coming			whispered	something clumsy coming	Motion	VISUAL
2686	sounding of cutting up bodies			spoken gutterally	cutting up bodies	Warfare and hunting	AUDITORY
2687		sonido de caer adentro			falling inside	Motion	AUDITORY
2688		sonido de caer adentro o coger y tragar de golpe			falling inside, grabbing and swallowing quickly	Motion	AUDITORY
2689		sonido que produce un machete cuando se quiebra			machete breaking	Basic actions and technology	AUDITORY
2690		sonido de majar con mazo			pounding with a mallet	Basic actions and technology	AUDITORY
2691		sonido que indica caída			falling	Motion	AUDITORY
2692		sonido que produce el tucán cuando canta			toucan	Animals	AUDITORY
2693		sonido que produce la caída de un huayo chico al agua			fruit falling into the water	Agriculture and vegetation	AUDITORY
2694		sonido que produce la caída de algo al agua			falling into the water	Motion	AUDITORY
2695		llanto de una criatura recién nacida			cry of newborn baby	Emotion and values	AUDITORY
2696		sonido que produce una clase de tucán			toucan species	Animals	AUDITORY
2697		sonido de la voz de cierto grillo			cricket species	Animals	AUDITORY
2698		sonido de algo que cae a la tierra			falling to the ground	Motion	AUDITORY
2699		sonido que representa la acción de sobar			rubbing	Basic actions and technology	AUDITORY
2700		sonido que representa la acción de desmontar			disassembling	Basic actions and technology	VISUAL, AUDITORY
2701		sonido de risa			laughter	Emotion and values	AUDITORY
2702		onomatopeya de la risa			laughter	Emotion and values	AUDITORY
2703		sonido de soplar			blowing	Basic actions and technology	AUDITORY
2704		gruñido del tigre cuando está enojado, grito (maullido) de gato			jaguar's growl, cat's meow	Animals	AUDITORY
2705		sonido de boa que cae al agua			boa falling into the water	Animals	AUDITORY
2706		acabado, terminado			finished	OTHER	?
2707		acabado, terminado / desaparecido			finished, disappeared	OTHER	?
2708		sonido de explosión			explosion	Basic actions and technology	AUDITORY
2709		ayayay		Esta parece más bien una interjección.	exclamation	OTHER	?
2710		sonido del tiro (balear)			gunshot	Warfare and hunting	AUDITORY
2711		desaparecido			disappeared	OTHER	?
2712		sonido de golpes			to hit	Basic actions and technology	AUDITORY
2713		sonido de golpe			to hit	Basic actions and technology	AUDITORY
2714		sonido del aleteo			flapping wings	Animals	AUDITORY
2715		sonido de caer			falling	Motion	AUDITORY
2716		sonido de aletear			flapping wings	Animals	AUDITORY
2717		sonido de correr			running	Motion	AUDITORY
2718		sonido de reventar			bursting	Basic actions and technology	AUDITORY
2719		sonido que produce el roer de un insecto			insect gnawing	Animals	AUDITORY
2720		sonido de la chispa de un rayo			lightning	The physical world	AUDITORY
2721		sonido que produce el mordisquear			nibbling	Food and drink	AUDITORY
2722		sonido de regarse algo			liquid spilling	Motion	AUDITORY
2723		sonido de traqueteo que producen las frutas secas al ser pisadas			dried fruits being crushed	Agriculture and vegetation	AUDITORY
2724		sonido que produce el roer			gnawing	Animals	AUDITORY
2725		sonido que produce al romperse algo			breaking	Basic actions and technology	AUDITORY
2726		sonido que se produce al saltar de adentro hacia afuera			to jump out	Motion	VISUAL
2727		sonido que representa el hecho de arrancar			to tear	Basic actions and technology	VISUAL
2728		sonido que produce el cortar algo			to cut	Basic actions and technology	AUDITORY
2729		sonido que se produce al romper algo			to break	Basic actions and technology	AUDITORY
2730		sonido que produce algo que cae al agua			to fall into water	Motion	AUDITORY
2731		sonido que se produce al resbalarse algo			slipping	Basic actions and technology	VISUAL
2732		sonido de algo que cae en tierra			to fall on land	Motion	AUDITORY
2733		sonido de algo que cae en el agua			to fall into water	Motion	AUDITORY
2734		sonido que produce el trueno			thunder	The physical world	AUDITORY
2735		sonido de un choque			crash	Basic actions and technology	AUDITORY
2736		sonido que comunica "nada"		Parece ser interjección. El ejemplo dice: "Nada", no muere.	nothing	Speech and language	?
2737		sonido producido por un golpe			to hit	Basic actions and technology	AUDITORY
2739		sonido que produce el atrapar algo			catching	Basic actions and technology	VISUAL
2740		sonido de una campana			bell	Basic actions and technology	AUDITORY
2741		idea de ponerse tendido, tiezo, postrado			lying down and still	The body, Spatial relations	VISUAL
2742		canto del pajarito toncachi			bird species	Animals	AUDITORY
2743		sonido emitido por el coleóptero del mismo nombre cuando es apretado con el dedo			beetle species being squished	Animals	AUDITORY
2744		voz del pájaro paracucu cuando canta			bird species	Animals	AUDITORY
2745		sonido del vuelo de picaflor / sonido que representa crispaturas [¿estremecimientos?, JMS]			flight of a hummingbird	Animals	AUDITORY, VISUAL
2746		sonido que representa que algo sucede de repente			suddenly	OTHER	?
2747		sonido que produce un trueno			thunder	The physical world	AUDITORY
2748		sonido hecho por el majás al correr			paca	Animals	AUDITORY
2749		sonido que produce el zumbido de las abejas			bees buzzing	Animals	AUDITORY
2750		imitación del grito del mono capuchino			capuchin monkey	Animals	AUDITORY
2751		caerse al agua			falling into the water	Motion	AUDITORY
2752		forma de gritar de hembra de paujil			bird species	Animals	AUDITORY
2753		golpe asestado con el filo de una herramienta; grito que profiere un chamán que está curando a un enfermo, cuando lucha contra un ser sobrenatural dándole golpes con el filo de una herramienta			blow struck with the edge of a tool	Religion and belief, Basic actions and technology	AUDITORY
2754		sonido producido por un objeto de madera cuando se lo golpea			to hit a wooden object	Basic actions and technology	AUDITORY
2755		crujido seco que se produce al caminar, sonido de una rama que se parte			sharp crunch underfoot, branch snapping	Motion	AUDITORY
2756		sonido que produce un objeto puntiaguado cuando penetra una materia			pointed object penetrating	Basic actions and technology	AUDITORY
2757		grito de paují macho			bird species	Animals	AUDITORY
2758		ruido que producen las vibraciones de un hilo bajo tensión			vibrations of a thread under tension	Animals	AUDITORY
2759		recibir un golpe en la cabeza			blow on the head	The body	AUDITORY
2760		ruido sordo que produce un objeto blando al caer			soft object falling	Motion	AUDITORY
2761		cabuya, cuerda, tensor de arco que se rompe			string or thread breaking	Basic actions and technology	AUDITORY
2762		ruido que hace una cerbatana al soplarla para lanzar un proyectil o sustancias maléficas en dirección a alguien			blowgun	Warfare and hunting	AUDITORY
2763		afilar			to sharpen	Basic actions and technology	AUDITORY
2764		sangre que brota de una herida			blood flowing	The body	VISUAL
2765		ruido de un objeto metálico cuando es golpeado por un objeto duro			metallic object	Basic actions and technology	AUDITORY
2766		golpe que se le da a alguien en la cabeza con un leño o un garrote			blow to the head with a log or club	Warfare and hunting	AUDITORY
2767		ruido de flechas que chocan entre sí o que caen después de haber sido disparadas. Más precisamente, el ruido que hacen las flechas de los hekura guerreros y, por extensión, los propios hekura		Hekura: clase de seres sobrenaturales	arrows colliding or falling after being shot	Religion and belief, Warfare and hunting	AUDITORY
2768		estallar (trueno). Más específicamente, el ruido de trueno que utiliza un chamán para combatir a los espíritus malévolos de la enfermedad			thunder	Religion and belief, The physical world	AUDITORY
2769		ruido que hacen los hekura al llegar		Hekura: clase de seres sobrenaturales	noise made by supernatural being	Religion and belief	AUDITORY
2770		ruido que hace un ser vivo cuando cae al suelo sin conocimiento o muerto			fall to the ground unconscious or dead	The body	AUDITORY
2771		alcanzar un blanco con una flecha de bambú			hit with a bamboo arrow	Warfare and hunting	AUDITORY
2772		llegada de un hekura al pecho de un chamán (aceptando el ofrecimiento de otro chamán)		Hekura: clase de seres sobrenaturales	noise made by supernatural being	Religion and belief	?
2773		canto del diostedé rabadilla dorada o piapoco. Se trata con frecuencia del canto de un hekura asociado a este pájaro		Hekura: clase de seres sobrenaturales	bird species	Religion and belief, Animals	AUDITORY
2774		sonido que hace una abeja		con alargamiento: diii	bee	Animals	AUDITORY
2775		sonido hecho por una flauta		El ideófono está escrito así: "ji-jidididi". No es clara la función del guion, pues no se usa en el resto del diccionario y no hay evidencia de un prefijo "ji-".	flute	Basic actions and technology	AUDITORY
2776		imitación de cualquier canto			imitating a song	Speech and language	AUDITORY
2777		grr [¿gruñido?, JMS]			grunt	Emotion and values	AUDITORY
2778		canto del pájaro muttu			bird species	Animals	AUDITORY
2779		ñam [comer/masticar?, JMS]			eat, chew	Food and drink	AUDITORY
2780		sonido que da el nombre a la rana kutata			frog species	Animals	AUDITORY
2781		sonido que produce un diablo			sound of a demon	Religion and belief	AUDITORY
2782		ruido que hace el agua al caer como un chorro			water falling like a stream	The physical world	AUDITORY
2783		gotas rápidas			fast drops	The physical world	AUDITORY
2784		gotas lentas			slow drops	The physical world	AUDITORY
2785		sonido que hace el fuego al encenderse			fire starting	The physical world	AUDITORY
2786		indica la caída de algo grande			large object falling	Motion	AUDITORY
2787		ruido que hace el agua o la cabellera al caer			water falling, hair falling	Motion	AUDITORY
2788	falling into water				falling into water	Motion	AUDITORY
