ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Portuguese,Simplified,SemanticField,SensoryCategory
2200,"The sound of bullets whizzing through air, or the appearance of lightening flashing",,,,,"May undergo strong aspiration, devoicing of vowel, creaking of voice, lengthening of entire word",,Motion
2201,"The sound of firm surfaces crashing into each other: said of a jaguar's teeth as it runs, of a blowgun knocking against a dart quiver, or of a bell's ringer colliding with the inside of a bell as it is rung.",,,,,,,Basic actions and technology
2202,A collapsing movement,,,,,,,Motion
2203,"To be positioned in a straight , pointing upward direction",,,,,,,Spatial relations
2204,A tapping or drumming sound,,,,,,,Basic actions and technology
2205,The sound of the woodpecker (calpintero) as it pecks a tree,,,,,,,Animals
2206,The ordinary non-communicative sound of a bird.,,,,,,,Animals
2207,"a rustling sound, such as that made by bushes or trees that are moved through, or the sound of crunching something crisp",,,,,,,Agriculture and vegetation
2208,"The complete accomplishment of any action, state, activity, or process",,,,,,,OTHER
2209,"The sound of birds, either sikwanga (toucan) or akangaw (a type of parrot)",,,,,"Reduplicación de tata, sya, o ambos",,Animals
2210,"explosive sound of firing a rifle, or a hollow, resonating sound resulting from closing a door, or tapping a hollow surface",,,,,,,Basic actions and technology
2211,"A complete absence of motion, as if 'stuck still'.",,,,,,,Motion
2212,A shaking or trembling movement,,,,,,,Motion
2213,"The sound of touching something hard, such as a stone, with a stick while walking",,,,,,,Basic actions and technology
2214,The sound of an explosion,,,,,,,Sense perception
2215,"The sound of ringing a church bell, or of beating a small drum",,,,,,,Basic actions and technology
2216,"The turning of something upside down, such as a canoe, a mukaha for drinking aswa",,,,,,,Motion
2217,"A resonant, reverberative sound, such as a heavy door closing, or a heavy body hitting the ground",,,,,,,Sense perception
2218,Filled or covered to a complete extent.,,,,,"Pronounced with a lengthened, drawn out intonation",,OTHER
2219,"An explosive sound, as of rifles firing, or the sound of thunder; a hitting sound, as when metal hits wood",,,,,,,Sense perception
2220,The sound of slapping water's surface,,,,,,,Motion
2221,movement of sparks of fire swirling through air,,,,,,,The physical world
2222,"To hit a firm surface in a way that pierces, punctures, or cuts deeply; to experience pain that feels piercingly sharp",,,,,,,Basic actions and technology
2223,"The sound and movement of a bird's vomiting, which is heard as it falls onto a leaf.",,,,,,,Animals
2224,"To appear to be very straight and pointing upward; to stand up or sit down with a very erect posture, causing one to look distinctive from one's surroundings. To leap straight upward",,,,,,,Motion
2225,"A shadowy movement, or a shaking movement, especially of foliage",,,,,,,Motion
2226,"The sound and movement of slapping water, or of waves of water crashing into each other",,,,,,,Motion
2227,The way saliva that has collected in a mouth for some time will spill out of the mouth when what obstructed it has been removed,,,,,,,The body
2228,A sliding or slithering movement along a surface. May describe the way a knife slides along its case as it is removed from it. May also describe the slithering of a snake moving along the ground.,,,,,Intonationally lengthened: tsiiii,,Motion
2229,"said of anything tall, erect, straight, such as a tree, or of anything that moves in a straight up or straight out direction, as when tobacco juice is ejected in a straight line from the mouth",,,,,,,Spatial relations
2230,"The sound of a snail crying, or the sound made by a person who has just been tranformed into tree sap, announcing her new form of non-human existence (myth)",,,,,,,Religion and belief
2231,The motion of twisting a chicken's neck.,,,,,,,Animals
2232,A sound heard near a tree believed to be inhabited by forest spirits,,,,,,,Religion and belief
2233,"To remove everything from a surface, to lay bare, or strip clean",,,,,,,Basic actions and technology
2234,"The sound and movement of falling into water, the path of movement under water, or the splashing sound made by a partially submerged being as it swims across the surface of water.",,,,,,,Motion
2235,"The calling sound of a kushilyu monkey, as well as its crying sound",,,,,"calling out sound: an energetic single call that is lengthened on the final syllable; crying sound: a series of shorter, repetitive sounds, lower in pitch calls",,Animals
2236,The sound of an agouti crying,,,,,,,Animals
2237,The sound of the movement of bullets traveling through water,,,,,,,Warfare and hunting
2238,"A sliding movement, or a movement that seems to slide, as when the sun 'slides' into the horizon at sunset",,,,,,,Motion
2239,The happy or sad sound of a hummingbird,,,,,,,Animals
2240,A touching movement that also slides across a surface.,,,,,,,Motion
2241,A kind of 'glug glug' sound of drinking,,,,,,,Food and drink
2242,Sound of splitting wood into kindling,,,,,,,Basic actions and technology
2243,The sound and movement made by a snake inside a hollow tree stump; the sound of a distraught person moving and shaking uncontrollably.,,,,,,,Animals
2244,The action of stirring liquid,,,,,,,Basic actions and technology
2245,A sound heard when thunder is said to be angry.,,,,,,,The physical world
2246,"A cataclysmic sound of the earth exploding during an earlier era, or the sound of anacondas fighting underwater",,,,,,,"Religion and belief, Animals"
2247,The sound of an invisible spirit walking in the forest,,,,,,,Religion and belief
2248,"The sound, movement, and feeling of eating something crisp; the sound, movement, and feeling of cracking the knuckles or finger joints; the sound of a mythic person turning into a tree.",,,,,,,Sense perception
2249,"The sound of eating something crisp such as a leaf, or of cracking something firm, such as a bone. Also the sound accompanying transformation of a human into a tree (myth)",,,,,,,Sense perception
2250,To leap toward something,,,,,,,Motion
2251,"the action of audibly striking something, and breaking the surface of what is struck",,,,,,,Basic actions and technology
2252,"A complete turning, revolving, or rolling movement; also used to describe a 180 degree turn, as when a drinking bowl is turned upside down. Tyam is often part of aswa drinking instructions when a host will order a guest to drink tyam, which means the pot is emptied so it can be turned upside down.",,,,,,,Motion
2253,The sound of striking metal,,,,,,,Basic actions and technology
2254,Moving toward something and sticking to it,,,,,,,Basic actions and technology
2255,Portending sound of the titiwali bird,,,,,,,Animals
2256,To look at or stare with eyes wide open,,,,,,,Sense perception
2257,A very fast movement toward something nearby,,,,,,,Motion
2258,"A calling sound, similar to a human call, but originating from a forest spirit attempting to steer dogs away from a jaguar",,,,,very nasal vowel sound made with a nearly closed mouth,,Religion and belief
2259,"Sound of a crying, upset infant",,,,,,,Emotion and values
2260,"The sound and motion of hitting at something. This ideophone is probably derived from a clipped version of waktana ‘to hit’. Also, the sound made by moving through shrubbery or dried leaves",,,,,,,Basic actions and technology
2261,"A pattern of shadowy, indistinct movement.",,,,,,,Motion
2262,a prominent expanse of bamboo growth,,,,,,,Agriculture and vegetation
2263,A cluster or bunch of fruit growing from a bush or tree,,,,,,,Agriculture and vegetation
2264,"To scratch a surface, making a dry, rustling sound",,,,,,,Basic actions and technology
2265,The portending cry of a tukayu bird,,,,,,,Animals
2266,To move something by pushing it out of the way,,,,,,,Motion
2267,The sound of a large adult toucan portending,,,,,,,Animals
2268,"The way something looks when it is positioned straight upward, and distinctive from its surroundings",,,,,,,Spatial relations
2269,"Anything or any group or collection of entities, or expanse of entities, considered as a whole. Any action done completely",,,,,,,Quantity
2270,"To scrape something, such as a leaf or the inside of a gourd",,,,,,,Basic actions and technology
2271,the flapping of a large hawk's wings,,,,,,,Animals
2272,The sound and motion of scraping pulp out of a gourd,,,,,,,Agriculture and vegetation
2273,The sad crying of a sunbittern bird called turu yutu 'mud partridge' who cannot find fish to eat,,,,,,,Animals
2274,The song of a toucan bird,,,,,,,Animals
2275,A blackness that stands out from its surroundings,,,,,,,Sense perception
2276,The song of the yutu bird,,,,,,,Animals
2277,The sound of a crying spirit.,,,,,,,Religion and belief
2278,to belch,,,eructar,,,to belch,The body
2279,"to eat quickly, choking",,,"comer rápido, atragantándose",,,eat quickly,Food and drink
2280,for an animal to shake itself to dry,,,sacudirse un animal con la intención de secarse,,,shake to dry,Animals
2281,shiny,,,brillante,,,shiny,Sense perception
2282,to chew,,,masticar,,,to chew,"Food and drink, The body"
2283,to be very hot,,,hacer mucho calor,,,very hot,Sense perception
2284,"to smoke, to spread the smoke",,,"humear, expandirse el humo",,,to smoke,The physical world
2285,to be hungry or crave non-meat foods like banana or yucca,,,"tener hambre o antojo de comer cualquier cosa que no sea carne, como por ejemplo plátano o yuca",,,to be hungry,Food and drink
2286,to peel the hard skin of a fruit,,,pelar la cáscara dura de un fruto,,,peel fruit,Food and drink
2287,to fill (with liquid),,,llenar (con líquido),,,to fill,Basic actions and technology
2288,to crunch an object,,,crujir un objeto,,,crunch,Basic actions and technology
2289,"to nail, cut with a machete, or peck (for a bird)",,,"clavar, machetear, picotear (pájaro)",,,nail,Animals
2290,to scratch one's own body,,,rascarse uno mismo el cuerpo,,,scratch,The body
2291,to walk from branch to branch like monkeys do,,,andar de rama en rama como los monos,,,walk in branches,Motion
2292,to pull,,,jalar,,,pull,Basic actions and technology
2293,"to make noise, like the packaging of food when it is wrinkled",,,"hacer sonar algo, como las envolturas de los alimentos cuando están arrugadas",,,make noise,Basic actions and technology
2294,to become fatigued or agitated due to a very prolonged physical effort,,,fatigarse o agitarse debido a un esfuerzo físico muy prolongado,,,get tired,The body
2295,"to continue feeling hungry, not satiated",,,"seguir con ganas de comer, no estar saciado",,,feel hungry,Food and drink
2296,to laugh,,,reírse,,,to laugh,Emotion and values
2297,"to whistle, to make the water run",,,silbar; hacer correr el agua,,,whistle,Basic actions and technology
2298,to cry,,,llorar,,,to cry,Emotion and values
2299,to have a runny nose; mucus dripping,,,moquear; derramarse el moco,,,runny nose,The body
2300,to breathe,,,respirar,,,breathe,The body
2301,to rain strongly,,,llover fuerte,,,rain heavily,The physical world
2302,to blow,,,soplar,,,blow,Basic actions and technology
2303,to be cold,,,tener frío,,,be cold,Sense perception
2304,to lay out,,,tender,,,lay out,Spatial relations
2305,to weigh a bundle or product,,,pesar un bulto o un producto,,,weigh,Sense perception
2306,"to boil, when a liquid reaches the boiling point",,,"hervir, cuando un líquido alcanza el punto de ebullición",,,boil,Food and drink
2307,"to choke on a drink, to drink too quickly",,,"atorarse con una bebida, beber con demasiada rapidez",,,choke,Food and drink
2308,"to eat quickly, to choke on food",,,"comer rápido, atragantarse con la comida",,,eat quickly,Food and drink
2309,to spit,,,escupir,,,spit,The body
2310,for a cat to meow,,,maullar un gato,,,meow,Animals
2311,to mold a sphere,,,moldear (esfera),,,mold,Basic actions and technology
2312,to snore,,,roncar,,,snore,The body
2313,to be sad,,,estar triste,,,be sad,Emotion and values
2314,to bark (a dog),,,ladrar (un perro),,,bark,Animals
2315,to clap,,,aplaudir,,,clap,Basic actions and technology
2316,to stomp strongly as a gesture of anger or annoyance,,,zapatear fuertemente en señal de ira o molestia,,,stomp,Emotion and values
2317,"to feel nervous, trembling, or with fear",,,"sentirse nervioso, tembloroso o con miedo",,,feel nervous,Emotion and values
2318,commotion (to make),,,bulla (hacer),,,make commotion,Speech and language
2319,to beat (clothes against a stone),,,golpear (ropa contra piedra),,,beat clothes,Basic actions and technology
2320,"to roll, spin",,,"rodar, dar vueltas",,,roll,Motion
2321,"to increase, to reproduce (people, animals)",,,"aumentar, reproducirse (gente, animales)",,,increase,Quantity
2322,"for the floor to make noise when hit with a stick or similar object, for the heart to beat",,,"hacer sonar el piso al golpearlo con una vara u objeto similar, latir el corazón",,,heart beat,Basic actions and technology
2323,"for one’s body to itch because of insects, isangos (mites), among others",,,"picar el cuerpo por mordeduras de insectos, isangos, etc",,,itch,Animals
2324,"to growl; for example, the tapir or sachavaca",,,"gruñir; por ejemplo, el tapir o sachavaca",,,growl,Animals
2325,to spread the smell of something usually disagreeable; to stink,,,propagar el olor de algo usualmente desagradable; apestar,,,smell bad,Sense perception
2326,to spill or fall liquid,,,derramar o caer líquido,,,spill,The physical world
2327,to drizzle,,,garuar,,,drizzle,The physical world
2328,to eject or produce vapor due to high temperature,,,expulsar o producir vapor debido a alta temperatura,,,emit vapor,The physical world
2329,"to blow gently, like a breeze",,,"soplar ligeramente el viento, como una brisa",,,blow gently,The physical world
2330,to sand,,,lijar,,,sand,Basic actions and technology
2331,to gnaw,,,roer,,,gnaw,Animals
2332,"to growl, for the wind to sound very strongly, as a strong wind/gale",,,"gruñir, sonar el viento muy fuerte, como un ventarrón",,,wind howl,The physical world
2333,"to spill (something), to drizzle with fat drops",,,"desparramar (algo), lloviznar con gotas gruesas",,,spill,The physical world
2334,for a serpent to hiss,,,zumbar una serpiente,,,hiss snake,Animals
2335,"to spill a liquid, strong rain",,,"derramarse un líquido, llover fuerte",,,spill liquid,The physical world
2336,to swell or become inflamed,,,hincharse o inflamarse,,,swell,The body
2337,"for a bee, wasp, or fly to buzz",,,"zumbar una abeja, avispa o mosca",,,buzz insect,Animals
2338,to shake off; for a serpent to jingle,,,"sacudirse, cascabelear una serpiente",,,shake off,Animals
2339,to hurt a part of the body,,,doler una parte del cuerpo,,,hurt,The body
2340,to roast (yucca),,,asar (yuca),,,roast yucca,Food and drink
2341,to grind one’s teeth producing a strong noise,,,crujir los dientes produciendo un ruido fuerte,,,grind teeth,The body
2342,to sway,,,tambalearse,,,sway,Motion
2343,"to be very thirsty, without access to any source of water",,,"tener mucha sed, sin acceso a ninguna fuente de agua",,,be thirsty,Sense perception
2344,"for an injury to hurt, producing stabbing pains",,,"doler una herida, produciendo punzadas",,,hurt injury,The body
2345,to swing; to move from one side to the other as dancing,,,balancearse; moverse de un lado a otro como bailando,,,swing,Motion
2346,to touch,,,tocar,,,touch,Basic actions and technology
2347,for the heart to beat,,,latir el corazón,,,heart beat,The body
2348,"to hop, to jump in the same spot",,,"dar de saltos, saltar en el mismo sitio",,,hop,Basic actions and technology
2349,to make sound (the bones of the hand),,,hacer sonar (los huesos de la mano),,,rattle bones,The body
2350,to drip,,,gotear,,,drip,The physical world
2351,to knock (wood),,,golpear (madera),,,knock wood,Basic actions and technology
2352,"to talk a lot, deceivingly",,,"hablar mucho, como engañando",,,talk a lot,Speech and language
2353,to walk stumbling,,,caminar dando tumbos,,,stumble walk,Motion
2354,to kiss (strongly),,,besar (fuerte),,,kiss strongly,The body
2355,for the skin to burn because of an infection or a skin problem,,,arder la piel como producto de una infección o problema en la piel,,,burn skin,The body
2356,to tremble out of cold or out of fear,,,temblar de frío o de miedo,,,tremble,"Sense perception, Emotion and values"
2357,to splash water on someone; to drizzle with small drops,,,salpicar agua a alguien; lloviznar con gotas menudas,,,splash water,The physical world
2358,to fan,,,abanicar,,,fan,Basic actions and technology
2359,to get angry,,,enojarse,,,get angry,Emotion and values
2360,to move something in a circular manner,,,mover algo de manera circular,,,move circular,Motion
2361,to push something or someone multiple times,,,empujar varias veces algo o a alguien,,,push repeatedly,Basic actions and technology
2362,"to move like a pendulum, for the wood of a house to be loose",,,"moverse pendularmente, estar suelta una madera de una casa",,,move pendulum,Motion
2363,to complain strongly,,,quejarse fuertemente,,,complain loudly,Emotion and values
2364,,,,risa con la boca bien abierta,,Sonido humano,,Emotion and values
2365,,,,gritar con la boca medio abierta,,Sonido humano,,Speech and language
2366,,,,silbar con un dedo metido en la boca,,Sonido humano,,Basic actions and technology
2367,,,,silbar,,Sonido humano,,Basic actions and technology
2368,,,,sonido que se produce al tomar agua,,Sonido humano,,Food and drink
2369,,,,exclamación para llamar la atención,,Sonido humano,,Speech and language
2370,,,,canto de un pavo cuando está bravo,,Sonido animal,,Animals
2371,,,,canto de gallo,,Sonido animal,,Animals
2372,,,,chillido de pollos,,Sonido animal,,Animals
2373,,,,sonido que hace el pájaro carpintero cuando golpea una madera,,Sonido animal,,Animals
2374,,,,sonido de un pájaro cuando se escucha cerca,,Sonido animal,,Animals
2375,,,,ladrido de un perro,,Sonido animal,,Animals
2376,,,,grito de un cerdo cuando es amarrado,,Sonido animal,,Animals
2377,,,,relinchar de un caballo,,Sonido animal,,Animals
2378,,,,sonido de chivito,,Sonido animal,,Animals
2379,,,,grito de tigre,,Sonido animal,,Animals
2380,,,,sonido de un golpe,,Sonido objeto,,Basic actions and technology
2381,,,,golpear de un hacha sobre leña,,Sonido objeto,,Basic actions and technology
2382,,,,sonido cuando se está chamuscando,,Sonido objeto,,Basic actions and technology
2383,,,,sonido que se produce al resbalar algo sobre lodo,,Sonido objeto,,Basic actions and technology
2384,,,,sabroso,,Sabor,,Food and drink
2385,,,,agrio,,Sabor,,Food and drink
2386,,,,mueca de asco,,Emoción y expresión,,Emotion and values
2387,,,,mueca en la que mueve la boca hacia un lado,,Emoción y expresión,,Emotion and values
2388,,,,reír,,Emoción y expresión,,Emotion and values
2389,,,,feliz,,Emoción y expresión,,Emotion and values
2390,,,,enojado,,Emoción y expresión,,Emotion and values
2391,,,,sentarse,,Corporal,,Motion
2392,,,,sonreir,,Corporal,,Emotion and values
2393,,,,bostezar,,Corporal,,The body
2394,,,,estornudar,,Corporal,,The body
2395,,,,ahogo,,Corporal,,The body
2396,,,,pedo,,Corporal,,The body
2397,,,,pedo suave,,Corporal,,The body
2398,,,,vomitar,,Corporal,,The body
2399,,,,roncar,,Corporal,,The body
2400,,,,"agitar manos,  ramas",,Movimiento,,Motion
2401,,,,lejos,,Movimiento,,Spatial relations
2402,,,,amontonado,,Movimiento,,Quantity
2403,,,,despedazar en partes algo largo,,Movimiento,,Basic actions and technology
2404,,,,rodar rápido de un tronco,,Movimiento,,Motion
2405,,,,"tascar, masticar",,Movimiento,,Basic actions and technology
2406,,,,tomar agua,,Movimiento,,Food and drink
2407,,,,cerca a un barranco,,Movimiento,,Spatial relations
2408,,,,pasos de un caballo,,Movimiento,,Animals
2409,,,,luz de relámpago,,Visual,,The physical world
2410,,,,rascar,,Tacto,,Basic actions and technology
2411,,,,mugroso,,Tacto,,Sense perception
2412,,,,erizar (como piel de pollo),,Tacto,,Sense perception
2413,,,,alisado,,Tacto,,Sense perception
2414,,,,mucho pelo púbico de mujer,,Tacto,,"The body, Quantity"
2416,,,,olor de comida quemada,,Olfato,,Food and drink
2417,,,,parado con los brazos abiertos,,Posición/configuración,,"Spatial relations, The body"
2418,,,,a lado de alguna cosa,,Posición/configuración,,Spatial relations
2419,,,,poner una cosa boca abajo,,Posición/configuración,,Spatial relations
2420,,,,apretado,,Posición/configuración,,Spatial relations
2421,,,,estirar,,Posición/configuración,,Basic actions and technology
2422,,,,curvado,,Posición/configuración,,Spatial relations
2423,,,,forma de canasta flexible de boca chica,,Posición/configuración,,Basic actions and technology
2424,,,,rebotar,,Acción,,Basic actions and technology
2425,,,,quebrar palos pequeños,,Acción,,Basic actions and technology
2426,,,,quebrar caña de guadua,,Acción,,Agriculture and vegetation
2427,,,,caer de una fruta,,Acción,,"Agriculture and vegetation, Motion"
2428,,,,moler granos,,Acción,,Agriculture and vegetation
2429,,,,pegar con la palma de la mano,,Acción,,Basic actions and technology
2430,,,,garrotear,,Acción,,Basic actions and technology
2431,,,,golpear con la palma de la  mano en la cara,,Acción,,Basic actions and technology
2432,,,,romper o destruir tela,,Acción,,Clothing and grooming
2433,,,,cortar con machete,,Acción,,Basic actions and technology
2434,,,,coger rápido uno tras otro,,Acción,,Basic actions and technology
2435,,,,sonido de llamar,,Sonido humano,,Speech and language
2436,,,,manera de reír,,Sonido humano,,Emotion and values
2437,,,,sonido de sexo,,Sonido humano,,The body
2438,,,,manera de llorar,,Sonido humano,,Emotion and values
2439,,,,sonido emitido por un mono,,Sonido animal,,Animals
2440,,,,sonido emitido por un pájaro búho,,Sonido animal,,Animals
2441,,,,sonido emitido por un animal mono,,Sonido animal,,Animals
2442,,,,sonido emitido por un ave lora,,Sonido animal,,Animals
2443,,,,sonido de la caída,,Sonido objetos,,Motion
2444,,,,"sonido de cortar con machete, cortar de un golpe",,Sonido objetos,,Basic actions and technology
2445,,,,sonido de cortar con cuchillo,,Sonido objetos,,Basic actions and technology
2446,,,,sonido de pegar con la mano,,Sonido objetos,,Basic actions and technology
2447,,,,sonido de cortar pelo con tijera,,Sonido objetos,,Basic actions and technology
2448,,,,pelar la corteza de la fruta u otra cosa,,Acción y cambio de estado,,Basic actions and technology
2449,,,,quebrar algo pequeño y rígido,,Acción y cambio de estado,,Basic actions and technology
2450,,,,quebrar algo grueso y rígido,,Acción y cambio de estado,,Basic actions and technology
2451,,,,quebrar palos y otros,,Acción y cambio de estado,,Basic actions and technology
2452,,,,cortar de un golpe por la mitad,,Acción y cambio de estado,,Basic actions and technology
2453,,,,cortar de pedazos pequeños algo,,Acción y cambio de estado,,Basic actions and technology
2454,,,,arrojar agua,,Acción y cambio de estado,,Basic actions and technology
2455,,,,pegar con la palma de la mano en la cara,,Acción y cambio de estado,,Basic actions and technology
2456,,,,inclinarse,,Acción y cambio de estado,,Basic actions and technology
2457,,,,agachar la espalda,,Acción y cambio de estado,,Basic actions and technology
2458,,,,parar,,Acción y cambio de estado,,Basic actions and technology
2459,,,,deslizarse,,"Movimiento, transicional y no transicional",,Motion
2460,,,,temblarse con frío,,"Movimiento, transicional y no transicional",,Sense perception
2461,,,,caminar en agua poco profunda,,"Movimiento, transicional y no transicional",,Motion
2462,,,,subir en el árbol,,"Movimiento, transicional y no transicional",,Motion
2463,,,,ir de puntillas,,"Movimiento, transicional y no transicional",,Motion
2464,,,,revolcarse,,"Movimiento, transicional y no transicional",,Motion
2465,,,,mover el cuerpo,,"Movimiento, transicional y no transicional",,Motion
2466,,,,mover,,"Movimiento, transicional y no transicional",,Motion
2467,,,,mover los brazos,,"Movimiento, transicional y no transicional",,"The body, Motion"
2468,,,,fondo de barranco desde la perspectiva de alguien que está arriba,,Posición/configuración,,Spatial relations
2469,,,,arriba desde la perspectiva de alguien que está abajo,,Posición/configuración,,Spatial relations
2470,,,,encima de algo,,Posición/configuración,,Spatial relations
2471,,,,por abajo del río,,Posición/configuración,,"Spatial relations, The physical world"
2472,,,,por arriba del río,,Posición/configuración,,"Spatial relations, The physical world"
2473,,,,doblarse,,Posición/configuración,,Spatial relations
2474,,,,alzar los pies/los brazos,,Posición/configuración,,"The body, Motion"
2475,,,,alzar los pies,,Posición/configuración,,"The body, Motion"
2476,,,,alzar los brazos,,Posición/configuración,,"The body, Motion"
2477,,,,mover la cadera,,Posición/configuración,,"The body, Motion"
2478,,,,topar a personas y otros,,Táctil,,Basic actions and technology
2479,,,,cogerse algo,,Táctil,,Basic actions and technology
2480,,,,toparse entre cuerpo y otro,,Táctil,,Basic actions and technology
2481,,,,salado,,Sabor,,Food and drink
2482,,,,dulce,,Sabor,,Food and drink
2483,,,,mover los pies,,Corporal,,"The body, Motion"
2484,,,,mover la cabeza,,Corporal,,"The body, Motion"
2485,,,,mover el pene,,Corporal,,"The body, Motion"
2486,,,,darse vuelta,,Corporal,,Motion
2487,,,,la aurora de la mañana,,Visual,,The physical world
2488,,,,ver,,Visual,,Sense perception
2489,,,,mirando,,Visual,,Sense perception
2490,,,,mirar hacia el cielo,,Visual,,The physical world
2491,,,,mirar hacia abajo,,Visual,,Spatial relations
2492,,,,olor de axila,,Olfativo,,The body
2493,,,,olor de sudor,,Olfativo,,The body
2494,,,,decir,,Emoción y expresión,,Speech and language
2495,,,,"lindo, bello, hermoso",,Emoción y expresión,,Emotion and values
2496,,,,raspar,,,,Basic actions and technology
2497,swing a loaded basket up on one's back,,,,,Sound of action,,Basic actions and technology
2498,bark (a dog) or scream,,,,,Sound of action,,Animals
2499,fall down dead,,,,,Sound of action,,"The body, Motion"
2501,eat,,,,,Sound of action,,Food and drink
2502,make a fire,,,,,Sound of action,,Basic actions and technology
2503,yawn,,,,,Sound of action,,The body
2504,break,,,,,Sound of action,,Basic actions and technology
2506,yank out,,,,,Sound of action,,Basic actions and technology
2507,drag on the ground,,,,,Sound of action,,Basic actions and technology
2508,pull up by the roots,,,,,Sound of action,,Agriculture and vegetation
2509,stretch,,,,,Sound of action,,Basic actions and technology
2510,"tremble, shake",,,,,Sound of action,,Motion
2511,"choke, gag",,,,,Sound of action,,The body
2513,scrape,,,,,Sound of action,,Basic actions and technology
2514,"scratch, cut",,,,,Sound of action,,Basic actions and technology
2515,clear one's throat,,,,,Sound of action,,The body
2516,burp,,,,,Sound of action,,The body
2517,pound corn,,,,,Sound of action,,Food and drink
2518,cook,,,,,Sound of action,,Food and drink
2519,"float, walk",,,,,Sound of action,,Motion
2520,wash,,,,,Sound of action,,Basic actions and technology
2521,burn with high flames,,,,,Sound of action,,The physical world
2522,expel intestinal gases,,,,,Sound of action,,The body
2523,light a fire by blowing on it,,,,,Sound of action,,Basic actions and technology
2524,suck out,,,,,Sound of action,,Basic actions and technology
2525,swallow,,,,,Sound of action,,"The body, Food and drink"
2526,"hurry, walk fast",,,,,Sound of action,,Motion
2527,blow wind,,,,,Sound of action,,The physical world
2528,"tear, rip",,,,,Sound of action,,Basic actions and technology
2529,holler,,,,,Sound of action,,Speech and language
2530,shoot,,,,,Sound of action,,Warfare and hunting
2531,go out (light or fire),,,,,Sound of action,,The physical world
2532,push,,,,,Sound of action,,Basic actions and technology
2533,push through a group of people,,,,,Sound of action,,Basic actions and technology
2534,"hit, sock",,,,,Sound of action,,Basic actions and technology
2535,"shake, tremble",,,,,Sound of action,,Motion
2536,sharpen knife,,,,,Sound of action,,Basic actions and technology
2537,"blow (wind), snort (pig)",,,,,Sound of action,,The physical world
2538,puncture,,,,,Sound of action,,Basic actions and technology
2539,cough,,,,,Sound of action,,The body
2540,"whistle, pla flute",,,,,Sound of action,,Basic actions and technology
2541,whistle announcing pig kill,,,,,Sound of action,,Basic actions and technology
2543,"blow (breeze), slap (waves), fan",,,,,Sound of action,,The physical world
2544,cave in (riverbank),,,,,Sound of action,,The physical world
2545,"plane (piece of wood), smooth",,,"cepillar (una madera), alisar",,Sound of action,,Basic actions and technology
2546,shuck corn,,,,,Sound of action,,Food and drink
2547,end suddenly,,,,,Sound of action,,OTHER
2548,break off,,,,,Sound of action,,Basic actions and technology
2549,scratch,,,,,Sound of action,,Basic actions and technology
2550,boil,,,,,Sound of action,,Food and drink
2551,set on eggs (hen),,,,,Sound of action,,Animals
2552,bend down palm leaves from stalk,,,,,Sound of action,,Agriculture and vegetation
2553,"bite, chew",,,,,Sound of action,,"Food and drink, The body"
2554,"chop down (tree), cut (hair)",,,,,Sound of action,,Basic actions and technology
2555,bite off,,,,,Sound of action,,Food and drink
2556,"enclose, beat on drum, play guitar",,,,,Sound of action,,Basic actions and technology
2557,burst,,,,,Sound of action,,Basic actions and technology
2558,"break open, split",,,,,Sound of action,,Basic actions and technology
2559,fly,,,,,Sound of action,,Motion
2560,be plugged up (nose),,,,,Sound of action,,The body
2561,tick (clock),,,,,Sound of action,,Basic actions and technology
2562,laugh,,,,,Sound of action,,Emotion and values
2563,chop,,,,,Sound of action,,Basic actions and technology
2564,drink,,,,,Sound of action,,Food and drink
2565,"hit, beat, split, kick",,,,,Sound of action,,Basic actions and technology
2566,splash (water),,,,,Sound of action,,The physical world
2567,pulsate,,,,,Sound of action,,Basic actions and technology
2568,burn,,,,,Sound of action,,The physical world
2569,fall on the ground,,,,,Sound of action,,Motion
2570,knock down fruit from tree,,,,,Sound of action,,"Agriculture and vegetation, Food and drink"
2571,chop down tree,,,,,Sound of action,,Agriculture and vegetation
2572,pick corn off stalk,,,,,Sound of action,,Agriculture and vegetation
2573,"slip, slide",,,,,Sound of action,,Basic actions and technology
2574,explode,,,,,Sound of action,,Basic actions and technology
2575,rumble (thunder),,,,,Sound of action,,The physical world
2576,groan,,,,,Sound of action,,Emotion and values
2577,call a bird,,,,,Sound of action,,Animals
2578,"rupture, burst",,,,,Sound of action,,Basic actions and technology
2579,make garden (chop trees down),,,,,Sound of action,,Agriculture and vegetation
2580,paint,,,,,Sound of action,,Basic actions and technology
2581,hatch,,,,,Sound of action,,Animals
2582,"sew (with a machine), function (motor)",,,,,Sound of action,,Basic actions and technology
2583,beat a drum,,,,,Sound of action,,Basic actions and technology
2584,scream,,,,,Sound of action,,Emotion and values
2585,admire,,,,,Sound of action,,Emotion and values
2587,cry,,,,,Sound of action,,Emotion and values
2588,"hit, spank",,,,,Sound of action,,Basic actions and technology
2589,"talk, converse",,,,,Sound of action,,Speech and language
2590,vomit,,,,,Sound of action,,The body
2591,"rip, tear",,,,,Sound of action,,Basic actions and technology
2592,"walk in water, burn, fan",,,,,Sound of action,,Motion
2593,sink (in water),,,,,Sound of action,,Motion
2594,"cut, shave",,,,,Sound of action,,Basic actions and technology
2595,snarl,,,,,Sound of action,,Emotion and values
2596,eat fruit,,,,,Sound of action,,Food and drink
